"","subject","trial","stimulus","response","dangerous","correct","eyes","teeth","spots","arms","color"
"193",2,89,"01010.jpg",0,0,1,"0","1","0","1","0"
"194",2,90,"11100.jpg",1,1,1,"1","1","1","0","0"
"195",2,91,"10101.jpg",1,1,1,"1","0","1","0","1"
"196",2,92,"10000.jpg",0,0,1,"1","0","0","0","0"
"197",2,93,"11110.jpg",1,1,1,"1","1","1","1","0"
"198",2,94,"01000.jpg",0,0,1,"0","1","0","0","0"
"199",2,95,"00001.jpg",0,0,1,"0","0","0","0","1"
"200",2,96,"01011.jpg",0,0,1,"0","1","0","1","1"
"201",2,97,"11011pt.jpg",1,0,0,"1","1","0","1","1"
"202",2,98,"11110pt.jpg",0,1,0,"1","1","1","1","0"
"203",2,99,"10101pt.jpg",1,1,1,"1","0","1","0","1"
"204",2,100,"00111pt.jpg",0,0,1,"0","0","1","1","1"
"205",2,101,"00101pt.jpg",0,0,1,"0","0","1","0","1"
"206",2,102,"01010pt.jpg",1,0,0,"0","1","0","1","0"
"207",2,103,"11111pt.jpg",1,1,1,"1","1","1","1","1"
"208",2,104,"01000pt.jpg",0,0,1,"0","1","0","0","0"
"209",3,1,"11101.jpg",1,1,0,"1","1","1","0","1"
"210",3,2,"00001.jpg",1,0,0,"0","0","0","0","1"
"211",3,3,"10011.jpg",1,0,0,"1","0","0","1","1"
"212",3,4,"00011.jpg",0,0,1,"0","0","0","1","1"
"213",3,5,"11110.jpg",1,1,1,"1","1","1","1","0"
"214",3,6,"01101.jpg",0,0,0,"0","1","1","0","1"
"215",3,7,"00100.jpg",0,0,1,"0","0","1","0","0"
"216",3,8,"11100.jpg",0,1,0,"1","1","1","0","0"
"217",3,9,"10110.jpg",1,1,1,"1","0","1","1","0"
"218",3,10,"11111.jpg",0,1,0,"1","1","1","1","1"
"219",3,11,"00000.jpg",0,0,0,"0","0","0","0","0"
"220",3,12,"01110.jpg",0,0,1,"0","1","1","1","0"
"221",3,13,"00000.jpg",0,0,1,"0","0","0","0","0"
"222",3,14,"11001.jpg",1,0,0,"1","1","0","0","1"
